INT_WKUP,PA0
LED_RED,PA1
LED_GREEN,PA2
LED_BLUE,PA3
FLASH_CSEL,PA4
FLASH_SCLK,PA5
FLASH_MISO,PA6
FLASH_MOSI,PA7
PA8,PA8
PA9,PA9
PA10,PA10
USB_DM,PA11
USB_DP,PA12
PA13,PA13
PA14,PA14
PA15,PA15
COL0,PB0
COL1,PB1
COL2,PB2
PB3,PB3
PB4,PB4
COL13,PB5
COL14,PB6
COL15,PB7
COL16,PB8
COL17,PB9
BLE_TXD,PB10
BLE_RXD,PB11
ROWDATA_R,PB12
ROWDATA_G,PB13
TSC_CAP,PB14
TSC_BOOP,PB15
I2C_SCL,PC0
I2C_SDA,PC1
BLE_MISC,PC2
COL3,PC3
COL4,PC4
COL5,PC5
COL6,PC6
COL7,PC7
COL8,PC8
COL9,PC9
COL10,PC10
COL11,PC11
COL12,PC12
PC13,PC13
SW2,PC14
ROWENA,PC15
SW1,PD2
